name,model,x_mse,y_mse,x_r2,y_r2,x_pearson,y_pearson,overall_mse
action_only_delta,linear,1.6351069211959839,0.08209721744060516,0.9093542695045471,0.9955928921699524,0.9536049962043762,0.9977800250053406,0.8586020469665527
action_only_delta,mlp,3.2770614624023438,2.0395922660827637,0.818328857421875,0.8905115127563477,0.9047293066978455,0.9437028765678406,2.658327102661133
z_action_delta,linear,1.1204904317855835,0.06747446209192276,0.9378831386566162,0.9963778853416443,0.9684463143348694,0.9981734156608582,0.5939823985099792
z_action_delta,mlp,0.521047830581665,0.05903470888733864,0.9711145758628845,0.996830940246582,0.9854510426521301,0.9984007477760315,0.2900412678718567
z_action_residual,linear,1.1204755306243896,0.06748365610837936,0.314713716506958,0.17798089981079102,0.5609991550445557,0.4234798550605774,0.59397953748703
z_action_residual,mlp,0.39192086458206177,0.02049194648861885,0.7602999806404114,0.7503873705863953,0.8722475171089172,0.87075275182724,0.20620641112327576
hK8_action_delta,linear,1.59251868724823,0.08102251589298248,0.9117152094841003,0.995650589466095,0.9548414945602417,0.9978169202804565,0.8367706537246704
hK8_action_delta,mlp,1.832912564277649,0.46433010697364807,0.8983884453773499,0.975074052810669,0.9478374719619751,0.9874464869499207,1.1486213207244873
hK8_action_residual,linear,1.5925168991088867,0.08072967827320099,0.026011765003204346,0.016630947589874268,0.1614404320716858,0.12998954951763153,0.8366233110427856
hK8_action_residual,mlp,1.3606990575790405,0.07631117850542068,0.1677922010421753,0.07045280933380127,0.4132670760154724,0.26604464650154114,0.7185051441192627
hK16_action_delta,linear,1.6154590845108032,0.08013960719108582,0.9104434847831726,0.9956979751586914,0.954176664352417,0.9978324174880981,0.8477993011474609
hK16_action_delta,mlp,1.630507469177246,0.407615065574646,0.9096091985702515,0.9781185984611511,0.9537521600723267,0.9889952540397644,1.0190613269805908
hK16_action_residual,linear,1.6154512166976929,0.08015146851539612,0.011985063552856445,0.023674190044403076,0.1097589060664177,0.15512481331825256,0.8478013277053833
hK16_action_residual,mlp,1.1147291660308838,0.07152106612920761,0.31822818517684937,0.128801167011261,0.5655416250228882,0.3596692383289337,0.5931251049041748
