task,ablation,x_mse,y_mse,x_r2,y_r2,overall_mse,delta_overall_mse
hard_top10_h_action_to_delta,none,14.603900909423828,0.7480553388595581,-0.10550510883331299,0.9589565992355347,7.675978183746338
hard_top10_h_action_to_delta,mask_h0,14.606982231140137,0.750889241695404,-0.10573840141296387,0.9588010907173157,7.67893648147583,0.0029582977294921875
hard_top10_h_action_to_delta,mask_h1,14.602996826171875,0.7523474097251892,-0.10543668270111084,0.9587211012840271,7.677672386169434,0.0016942024230957031
hard_top10_h_action_to_delta,mask_h2,14.621781349182129,0.7463551163673401,-0.10685861110687256,0.9590498805046082,7.684068202972412,0.008090019226074219
hard_top10_h_action_to_delta,mask_h3,14.605549812316895,0.7523837089538574,-0.10563004016876221,0.9587190747261047,7.678966522216797,0.0029883384704589844
hard_top10_h_action_to_delta,mask_h4,14.603865623474121,0.7565802931785583,-0.10550248622894287,0.9584888219833374,7.6802215576171875,0.004243373870849609
hard_top10_h_action_to_delta,mask_h5,14.668704986572266,0.7490600943565369,-0.11041080951690674,0.9589014649391174,7.7088823318481445,0.03290414810180664
hard_top10_h_action_to_delta,mask_h6,14.607221603393555,0.7481759190559387,-0.10575652122497559,0.9589499235153198,7.677698612213135,0.001720428466796875
hard_top10_h_action_to_delta,mask_h7,14.595073699951172,0.7469742298126221,-0.10483694076538086,0.9590159058570862,7.671023368835449,-0.004954814910888672
hard_top10_h_action_to_delta,mask_h8,14.593348503112793,0.7481174468994141,-0.1047062873840332,0.9589531421661377,7.6707329750061035,-0.005245208740234375
hard_top10_h_action_to_delta,mask_h9,14.613515853881836,0.7497995495796204,-0.10623300075531006,0.9588608741760254,7.681658744812012,0.005680561065673828
hard_top10_h_action_to_delta,mask_h10,14.602437019348145,0.7462539672851562,-0.10539436340332031,0.9590554237365723,7.674345970153809,-0.0016322135925292969
hard_top10_h_action_to_delta,mask_h11,14.72818374633789,0.7530835270881653,-0.1149132251739502,0.9586806893348694,7.740633487701416,0.06465530395507812
hard_top10_h_action_to_delta,mask_h12,14.724985122680664,0.7483540177345276,-0.11467111110687256,0.9589402079582214,7.736669540405273,0.06069135665893555
hard_top10_h_action_to_delta,mask_h13,14.605507850646973,0.7493770718574524,-0.10562682151794434,0.958884060382843,7.677443027496338,0.00146484375
hard_top10_h_action_to_delta,mask_h14,14.605367660522461,0.7479803562164307,-0.10561621189117432,0.9589606523513794,7.676673889160156,0.0006957054138183594
hard_top10_h_action_to_delta,mask_h15,14.58767032623291,0.7585543990135193,-0.10427653789520264,0.9583805203437805,7.673111915588379,-0.0028662681579589844
hard_top10_h_action_to_residual,none,14.60108470916748,0.7496798634529114,0.0223160982131958,0.028709888458251953,7.675381660461426
hard_top10_h_action_to_residual,mask_h0,14.604175567626953,0.7524648308753967,0.02210909128189087,0.025101661682128906,7.678320407867432,0.0029387474060058594
hard_top10_h_action_to_residual,mask_h1,14.600176811218262,0.7539360523223877,0.0223768949508667,0.023195505142211914,7.677056312561035,0.001674652099609375
hard_top10_h_action_to_residual,mask_h2,14.618950843811035,0.7479538917541504,0.021119773387908936,0.030946016311645508,7.683452606201172,0.008070945739746094
hard_top10_h_action_to_residual,mask_h3,14.602720260620117,0.7539544105529785,0.022206544876098633,0.023171722888946533,7.6783366203308105,0.0029549598693847656
hard_top10_h_action_to_residual,mask_h4,14.60104751586914,0.758165180683136,0.022318601608276367,0.01771622896194458,7.6796064376831055,0.0042247772216796875
hard_top10_h_action_to_residual,mask_h5,14.665846824645996,0.7506427764892578,0.01797962188720703,0.027462363243103027,7.708245277404785,0.032863616943359375
hard_top10_h_action_to_residual,mask_h6,14.604413032531738,0.7497577667236328,0.022093236446380615,0.028608977794647217,7.6770853996276855,0.0017037391662597656
hard_top10_h_action_to_residual,mask_h7,14.592241287231445,0.7485795617103577,0.02290821075439453,0.03013545274734497,7.670410633087158,-0.004971027374267578
hard_top10_h_action_to_residual,mask_h8,14.590523719787598,0.7497420907020569,0.023023247718811035,0.028629302978515625,7.670132160186768,-0.005249500274658203
hard_top10_h_action_to_residual,mask_h9,14.610703468322754,0.7513930797576904,0.02167201042175293,0.026490211486816406,7.681046962738037,0.005665302276611328
hard_top10_h_action_to_residual,mask_h10,14.599617958068848,0.747898519039154,0.022414326667785645,0.031017780303955078,7.673758029937744,-0.0016236305236816406
hard_top10_h_action_to_residual,mask_h11,14.72541332244873,0.7547047734260559,0.013991057872772217,0.022199571132659912,7.740058422088623,0.06467676162719727
hard_top10_h_action_to_residual,mask_h12,14.722108840942383,0.7499855756759644,0.014212369918823242,0.028313815593719482,7.73604679107666,0.060665130615234375
hard_top10_h_action_to_residual,mask_h13,14.602690696716309,0.7509785890579224,0.02220851182937622,0.027027249336242676,7.676835060119629,0.001453399658203125
hard_top10_h_action_to_residual,mask_h14,14.602551460266113,0.7495989203453064,0.022217869758605957,0.028814733028411865,7.676075458526611,0.0006937980651855469
hard_top10_h_action_to_residual,mask_h15,14.584837913513184,0.760094404220581,0.023403942584991455,0.015216708183288574,7.672465801239014,-0.0029158592224121094
