name,model,x_mse,y_mse,x_r2,y_r2,x_pearson,y_pearson,overall_mse
h_to_position,linear,40.48381805419922,50.07375717163086,0.971189022064209,0.9687012434005737,0.9854937791824341,0.9842313528060913,45.27878952026367
h_to_position,mlp,23.474027633666992,14.018513679504395,0.9832943081855774,0.9912376999855042,0.9916114211082458,0.9956144094467163,18.74627113342285
h_to_position,kanfis,9.422415733337402,10.244184494018555,0.993294358253479,0.9935968518257141,0.9966448545455933,0.9967954754829407,9.833300590515137
h_action_to_delta,linear,1.1114224195480347,0.06775546073913574,0.9383858442306519,0.9963628053665161,0.9687069654464722,0.9981657266616821,0.5895889401435852
h_action_to_delta,mlp,0.828487753868103,0.24189463257789612,0.9540709853172302,0.9870147109031677,0.9767871499061584,0.9934771656990051,0.5351912379264832
h_action_to_delta,kanfis,0.5738348364830017,0.06280064582824707,0.9681882262229919,0.9966287612915039,0.9839727878570557,0.9982985854148865,0.3183177411556244
h_action_to_residual,linear,1.111412525177002,0.06776687502861023,0.32025665044784546,0.17453104257583618,0.5659347176551819,0.41861820220947266,0.5895897746086121
h_action_to_residual,mlp,0.5832357406616211,0.04265742003917694,0.6432912349700928,0.4803895354270935,0.8026307225227356,0.6972289681434631,0.3129465878009796
h_action_to_residual,kanfis,0.5410774350166321,0.02417890354990959,0.6690753698348999,0.7054765224456787,0.8192199468612671,0.8469751477241516,0.2826281785964966
h_action_to_delta_h_first2,linear,0.27713850140571594,0.1053905114531517,0.3117542862892151,0.37007319927215576,0.5583658218383789,0.6083565354347229,0.19126452505588531
h_action_to_delta_h_first2,mlp,0.11834166944026947,0.07664559781551361,0.7061103582382202,0.5418835878372192,0.8403764963150024,0.7363196611404419,0.09749362617731094
h_action_to_delta_h_first2,kanfis,0.10761550813913345,0.08301790058612823,0.7327476739883423,0.5037959218025208,0.8560179471969604,0.7112686634063721,0.09531670808792114
