dim,position,residual,hard,dynamics
0,0.48970192670822144,0.0342969112098217,0.372572124004364,0.06779178977012634
1,0.625687301158905,0.10851138830184937,0.01127659436315298,0.0805249735713005
2,0.42180514335632324,0.3513217866420746,0.03043113462626934,0.17472220957279205
3,0.7899157404899597,0.14408494532108307,0.10390076041221619,0.10847412049770355
4,0.5941880941390991,0.13538987934589386,0.17840991914272308,0.039177920669317245
5,0.5954004526138306,0.08188855648040771,0.06186354532837868,0.2434098720550537
6,0.22762064635753632,0.08066803216934204,0.31913039088249207,0.06849870830774307
7,0.5108203291893005,0.11349397152662277,0.26788100600242615,0.13681505620479584
8,0.22625797986984253,0.08279736340045929,0.37041035294532776,0.0661778673529625
9,0.24559032917022705,0.14792412519454956,0.3619225025177002,0.10294663906097412
10,0.39806872606277466,0.12057243287563324,0.11553578823804855,0.06858234107494354
11,0.8049322366714478,0.04148048534989357,0.02527715638279915,0.1915854662656784
12,0.35336577892303467,0.0927465409040451,0.34382206201553345,0.026868514716625214
13,0.359220027923584,0.10517721623182297,0.3719397187232971,0.006490977015346289
14,0.6837772727012634,0.0600670650601387,0.1156524196267128,0.19635769724845886
15,0.1917113959789276,0.20331978797912598,0.24996569752693176,0.09363070875406265
